name,website,investor_count,funding_count,funding_last_type,funding_last_date,valuation_date,revenue_year,funding_total_numeric_millions,funding_last_numeric_millions,valuation_numeric_millions,revenue_total_numeric_millions
Valera Health,https://valerahealth.com,20,8,Series B - II,2024-04-09,,,76.32,9.12,,
Bestow,https://bestow.com,8,5,Series C,2020-12-16,,,138.1,70.0,,
PlainID,https://plainid.com,10,5,Series C,2021-12-21,2020-12,,99.0,75.0,48.0,
Snapcart,https://snapcart.global,9,4,Series A,2017-10-25,,,14.7,10.0,,
Slice,https://sliceit.com,36,21,Debt - VIII,2024-07-19,2022-06,,390.5,7.77,1800.0,
Barn2Door,https://barn2door.com,11,7,Convertible Note,2023-04-11,,,19.17,2.0,,
Deep Sky,https://deepskyclimate.com,8,3,Series A - II,2024-09-12,,,51.2,1.84,,
Synapticure,https://synapticure.com,15,3,Series A,2024-09-24,,,6.0,13.0,,
Ant Group,https://antgroup.com,28,12,Loan - II,2023-03-06,,2019,25646.0,6500.0,,17150.0
Dovetail,https://,1,5,Acquired,2014-05-21,,,26.0,13.0,,
Narvar,https://corp.narvar.com,13,5,Incubator/Accelerator,2019-07-01,,,64.0,13.0,,
OwnHome,https://ownhome.com,7,3,Series A,2022-02-03,,,25.92,22.11,,
Decent,https://decent.com,48,4,Series A - II,2021-12-21,,,19.0,1.0,,
Lottie,https://golottie.com,4,2,Series A,2022-02-22,,,3.4,3.4,,
AI Squared,https://squared.ai,4,2,Series A,2024-03-01,,,19.8,13.8,,
Grinta,https://grinta.eu,3,1,Seed,2021-08-30,,,2.36,2.36,,
ReflexAI,https://reflexai.com,8,5,Series A,2024-05-06,,,11.84,6.53,,
Harmonic Security,https://harmonic.security,10,4,Series A,2024-10-02,,,25.96,17.5,,
Bitmovin,https://bitmovin.com,15,10,Shareholder Liquidity,2021-04-20,,,88.79,13.0,,
Stader,https://staderlabs.com,31,4,Seed VC - II,2022-01-20,,,16.5,12.5,,
Upheal,https://upheal.io,12,2,Seed VC,2023-12-19,,,4.29,3.25,,
Ukio,https://ukio.com,9,5,Debt - II,2022-11-23,,,39.49,10.3,,
Panorama Education,https://panoramaed.com,33,7,Series C - II,2021-09-02,,,92.04,60.0,,
DispatchHealth,https://dispatchhealth.com,15,8,Series E,2022-11-15,2021-03,,740.96,259.0,1700.0,
Amberstone Biosciences,https://amberstonebio.com,6,3,Series A,2022-01-03,,,13.22,12.0,,
Astro,https://astro.ai,1,5,Acquired,2018-09-24,,,26.0,13.0,,
ThayerMahan,https://thayermahan.com,9,6,Series C - II,2023-12-10,,,62.75,20.0,,
CREXi,https://crexi.com,12,3,Series B,2020-01-24,,,45.3,30.0,,
LivSpace,https://livspace.com,21,11,Series F,2022-02-08,,2019,371.69,180.0,,11.29
Indicina,https://indicina.co,9,4,Seed VC - III,2021-10-06,,,3.11,3.0,,
FlexSea,https://flex-sea.com,9,4,Seed VC - II,2023-10-03,,,3.76,2.4,,
Aisera,https://aisera.com,16,6,Series D,2022-08-03,,,180.0,90.0,,
NymCard,https://nymcard.com,16,9,Series B,2022-06-08,,,33.1,22.5,,
WEAVR,https://weavr.space,3,5,Acquired,2018-06-28,,,26.0,13.0,,
ONE,https://groupone-holdings.com,11,5,Series G,2024-10-15,2021-12,,536.0,50.0,1000.0,
Mosaic Microsystems,https://mosaicmicro.com,10,7,Incubator/Accelerator,2023-12-12,,,7.27,1.0,,
Sardine,https://sardine.ai,27,5,Series B,2022-09-20,,,75.6,51.5,,
Vanta,https://vanta.gg,10,3,Seed VC - II,2024-06-27,,,3.63,1.1,,
Credo,https://,1,5,Other Investors,,,,26.0,13.0,,
ENVIRIA,https://enviria.energy,6,5,Secondary Market,2024-03-05,,,42.86,217.39,,
Dasera,https://dasera.com,13,3,Series A,2023-04-19,,,18.0,12.0,,
Tava Health,https://tavahealth.com,6,4,Series B,2023-12-29,,,33.0,20.0,,
Deako,https://deako.com,8,14,Convertible Note - III,2024-07-03,,,41.86,3.41,,
Switch Bioworks,https://switchbioworks.com,8,2,Seed VC,2024-09-05,,,21.3,17.0,,
Commonplace,https://commonplace.is,9,3,Unattributed VC - II,2023-06-14,,,6.95,2.66,,
Botify,https://botify.com,7,5,Growth Equity,2023-10-01,,,97.2,15.0,,
FlexxPay,https://flexxpay.com,10,5,Seed - IV,2021-02-15,,,4.5,3.0,,
Survios,https://survios.com,14,5,Series D,2020-10-02,2015-10,,70.95,16.7,30.0,
Ironclad,https://ironcladapp.com,16,9,Series E,2022-01-18,2020-10,2019,331.12,150.0,950.0,10.0
iSono Health,https://isonohealth.com,12,7,Biz Plan Competition,2023-02-06,,,1.13,0.01,,
EyeControl,https://eyecontrol.co.il,16,6,Series A,2020-08-12,,,11.35,7.5,,
Credenc,https://credenc.com,7,5,Acquired,2021-08-20,,,27.5,13.0,,
BriteCo,https://brite.co,5,3,Series A,2022-03-11,,,12.8,9.0,,
Cometeer,https://cometeer.com,7,2,Series B,2021-10-19,,,85.0,35.0,,
Sharebite,https://sharebite.com,16,7,Series B - II,2024-02-21,,,72.17,13.55,,
Curacel,https://curacel.co,25,16,Incubator/Accelerator - VI,2024-05-18,,,5.01,13.0,,
AMSL Aero,https://vertiia.com,6,4,Grant,2023-11-07,,,19.05,3.49,,
Anomalo,https://anomalo.com,7,4,Series B,2024-01-24,,,71.95,33.0,,
Ion Mobility,https://ionmobility.com,17,8,Incubator/Accelerator - III,2023-06-29,,,28.8,13.0,,
Recurrent,https://recurrentauto.com,18,5,Series A,2024-01-08,,,24.3,16.0,,
Sitemate,https://sitemate.com,7,3,Seed VC - II,2023-11-16,,,9.44,4.85,,
Entitle,https://entitle.io,4,5,Acquired,2024-04-16,,,15.0,13.0,,
Visional,https://visional.inc,16,4,IPO,2021-04-21,,,45.53,632.0,,
Bankingly,https://bankingly.com,12,4,Series A - III,2022-05-06,,,21.25,11.0,,
PocketHealth,https://pockethealth.com,5,3,Series B,2024-03-20,,,55.59,33.09,,
Sunhero,https://sunhero.com,6,3,Debt,2023-10-13,,,17.89,3.16,,
Menlo Security,https://menlosecurity.com,11,5,Series E,2020-11-12,,,250.5,100.0,,
Kalshi,https://kalshi.com,9,5,Series A - II,2022-01-14,2021-02,,38.74,2.5,120.0,
KikOff,https://kikoff.com,10,3,Series B,2021-06-10,,,42.5,30.0,,
AI21 Labs,https://ai21.com,15,6,Series C - II,2023-11-21,2023-08,2022,317.0,53.0,1400.0,22.0
Kewazo,https://kewazo.com,8,5,Series A - II,2023-01-24,,,17.75,10.0,,
Relish,https://relishcareers.com,2,3,Unattributed,2016-10-31,,,0.66,0.66,,
Penn Connected,https://pennconnected.com,3,1,Seed VC,2016-04-04,,,1.9,1.9,,
Mangata Networks,https://mangatanetworks.com,7,4,Convertible Note,2022-12-19,,,61.03,28.03,,
SourceDay,https://sourceday.com,7,6,Series C,2022-02-15,,,54.75,31.5,,
Moneytree,https://getmoneytree.com,20,7,Incubator/Accelerator - II,2022-04-29,,,34.8,13.0,,
Luminopia,https://luminopia.com,10,11,Series A,2023-06-27,,,38.72,16.0,,
Addionics,https://addionics.com,26,10,Series B,2024-07-25,2022-01,,72.0,39.0,82.0,
Ambient Photonics,https://ambientphotonics.com,13,6,Series A - II,2023-09-05,,,240.5,30.0,,
BuildOps,https://buildops.com,23,8,Series B,2023-05-18,,,98.8,50.0,,
GigFinesse,https://gigfinesse.com,5,2,Series A,2024-06-03,,,9.39,5.79,,
Kard,https://getkard.com,10,4,Series A,2022-04-12,,,23.87,23.0,,
Cornelis Networks,https://cornelisnetworks.com,8,7,Series C,2024-03-12,,,111.35,25.0,,
Tarana Wireless,https://taranawireless.com,13,10,Unattributed,2023-09-13,2022-03,,429.64,50.0,1000.0,
Celmatix,https://celmatix.com,4,11,Grant - II,2018-12-19,,,39.63,13.0,,
Hone,https://honehq.com,17,4,Series B,2022-08-22,,,51.64,29.29,,
Air,https://air.life,1,5,Dead,2018-01-01,,,26.0,13.0,,
Tagore Technology,https://tagoretech.com,3,6,Debt - II,2023-06-29,,,13.64,1.5,,
Nomad Homes,https://nomadhomes.ae,20,3,Series A - II,2023-10-23,,,44.0,20.0,,
QI Tech,https://qitech.com.br,4,5,Series B - II,2024-04-25,2023-10,,312.0,50.0,1000.0,
G2 Esports,https://g2esports.com,12,3,Angel,2019-12-10,,,34.6,10.0,,
Arkestro,https://arkestro.com,10,4,Series A - II,2023-03-09,,,40.29,14.29,,
Solar Foods,https://solarfoods.com,19,16,IPO,2024-09-10,,,121.81,13.0,,
DigitalOwl,https://,2,4,Dead,2002-01-01,,,13.1,13.0,,
Exponent Energy,https://exponent.energy,8,4,Series B,2023-12-14,,,44.4,26.4,,
Charlie,https://hicharlie.co,14,2,Series A,2018-11-26,,,11.43,9.0,,
Pando,https://,23,4,Acquired,2019-10-23,,,4.2,13.0,,
Vecna Robotics,https://vecnarobotics.com,11,6,Series C - II,2024-06-20,,,168.5,25.0,,
Facio,https://facio.com.br,7,5,Series A,2024-08-08,,,17.9,11.05,,
Lentra,https://lentra.ai,8,6,Incubator/Accelerator,2024-08-08,2022-11,,177.0,13.0,500.0,
Arryved,https://arryved.com,3,6,Series B,2021-06-14,,,27.35,20.0,,
Life House,https://lifehousehotels.com,18,7,Series C,2021-12-02,,,230.0,60.0,,
Klaim,https://klaim.ai,9,6,Seed VC - II,2022-11-22,,2021,7.72,5.0,,2.9
Pachama,https://pachama.com,48,9,Series B - II,2023-12-05,,,88.25,9.0,,
Guru,https://guru.com,12,5,Unattributed VC,2021-07-07,,,65.1,2.4,,
Sapient Industries,https://sapient.industries,6,7,Incubator/Accelerator - III,2024-04-25,,,22.3,13.0,,
7shifts,https://7shifts.com,17,10,Series C,2022-02-10,,,121.86,80.0,,
Flaviar,https://flaviar.com,9,8,Loan,2020-04-14,,,14.67,0.25,,
AnyRoad,https://anyroad.com,16,8,Series B,2022-02-24,,,67.0,47.0,,
SafeGraph,https://safegraph.com,21,5,Series B,2021-03-16,,,61.68,45.0,,
Typeform,https://typeform.com,15,6,Series C,2022-03-10,2017-09,,187.26,135.0,300.0,
ZStack,https://zstack.io,22,5,Series C,2023-04-11,,,33.27,13.0,,
SkySelect,https://,2,2,Seed VC - II,2018-08-14,,,2.8,2.8,,
QuiX Quantum,https://quixquantum.com,5,6,Seed,2024-07-15,,,5.59,13.0,,
Satori,https://satoricyber.com,7,5,Incubator/Accelerator - III,2024-05-16,,,25.25,13.0,,
Alembic,https://getalembic.com,9,6,Option/Warrant - II,2024-07-09,,,23.0,1.78,,
Sidecar Health,https://sidecarhealth.com,16,5,Series D,2024-06-26,2021-01,,328.0,165.0,1000.0,
Imperia,https://imperia.net,3,5,Acquired,2005-01-01,,,2.49,13.0,,
Rose Rocket,https://roserocket.com,10,5,Series B,2023-06-20,,,63.12,38.0,,
Addi,https://addi.com,23,13,Series D,2024-03-20,2021-12,,462.8,36.0,700.0,
DataX,https://dataxltd.com,1,5,Acquired,2018-07-16,,,26.0,13.0,,
Praxis,https://,1,1,Private Equity,2018-11-29,,,3.0,3.0,,
Mobly,https://mobly.com.br,4,3,IPO,2021-02-05,2013-04,,13.0,13.0,108.0,
Futurae,https://futurae.com,11,7,Incubator/Accelerator - III,2023-01-01,,,7.6,13.0,,
NFTfi,https://nftfi.com,20,4,Series A - II,2024-03-11,,,11.0,6.0,,
Mosaic Manufacturing,https://mosaicmfg.com,8,8,Series A,2024-06-01,,,21.15,20.53,,
Databox,https://data-box.com.cn,2,2,Series A,2019-04-08,,,14.89,14.89,,
Okteto,https://okteto.com,11,3,Series A,2022-01-28,,,18.08,15.0,,
Moove,https://moove.ie,1,1,Angel,2018-05-13,,,0.28,0.28,,
Flatfair,https://flatfair.co.uk,8,3,Angel - II,2022-01-01,,,11.0,13.0,,
Meru Health,https://meruhealth.com,18,10,Grant,2022-05-10,,,58.02,2.0,,
Edgeless Systems,https://edgeless.systems,14,7,Seed VC - II,2023-03-08,2021-06,,6.73,5.0,75.0,
Ternary,https://ternary.app,11,3,Series A,2023-10-23,,,20.32,12.0,,
Feals,https://feals.com,1,3,Debt,2020-06-04,,,2.8,2.0,,
Fleksy,https://fleksy.com,20,9,Incubator/Accelerator,2022-10-03,,,8.32,13.0,,
Vyrill,https://vyrill.com,11,9,Seed VC - III,2022-03-31,,,3.02,3.0,,
MyGlamm,https://myglamm.com,8,4,Series C,2021-03-18,,,24.14,24.14,,
Clear Skye,https://clearskye.com,6,4,Series A,2022-03-24,,,20.1,14.0,,
Censia,https://censia.com,19,12,Series B,2024-09-18,,,35.83,13.0,,
Arbor Biotechnologies,https://arbor.bio,22,3,Series B,2021-11-09,,,231.28,215.0,,
Quibim,https://quibim.com,16,9,Incubator/Accelerator - III,2024-04-04,,,9.83,13.0,,
Nift Networks,https://gonift.com,4,3,Loan,2020-04-15,,,20.18,0.68,,
StockGro,https://stockgro.club,19,5,Debt,2024-01-17,,,61.66,24.66,,
Meritize,https://meritize.com,11,5,Unattributed,2022-06-30,,,23.55,13.0,,
Semperis,https://semperis.com,11,5,Series C - II,2024-06-20,,2020,365.0,13.0,,11.6
Smartlabs,https://smartlabsinc.com,2,3,Loan,2020-04-09,,,7.99,0.68,,
Nirvana Health,https://meetnirvana.com,6,3,Series A,2024-09-12,,,36.03,24.2,,
XILO,https://xilo.io,7,5,Seed VC - III,2023-01-11,,,6.1,4.0,,
Hussle,https://,1,1,Seed,2015-01-27,,,0.08,0.08,,
1Fort,https://1fort.com,7,3,Pre-Seed,2023-06-27,,,2.05,2.0,,
Umoja Biopharma,https://umoja-biopharma.com,15,2,Series B,2021-06-15,,,263.0,210.0,,
Alida Biosciences,https://alidabio.com,5,5,Grant,2024-06-12,,,16.01,4.0,,
Lucky Saint,https://luckysaint.co,7,3,Unattributed,2024-01-25,,,12.9,0.9,,
FirstBase,https://firstbase.io,7,6,Seed VC - IV,2022-12-02,,,3.67,0.5,,
Virtuous,https://virtuous.org,7,9,Growth Equity,2024-09-20,,,155.26,100.0,,
Percepto,https://percepto.co,19,9,Series C,2023-06-12,,,138.6,50.0,,
Clear Street,https://clearstreet.io,12,4,Series B - II,2023-04-11,2022-04,,491.71,270.0,1700.0,
Tigera,https://tigera.io,5,3,Series B - II,2018-12-12,,,53.0,30.0,,
Saturn Cloud,https://saturncloud.io,1,2,Seed,2021-08-17,,,10.5,6.5,,
Candivore,https://candivore.io,3,3,Series C,2023-08-14,,,122.0,100.0,,
igloohome,https://igloohome.co,22,9,Series B - II,2022-03-17,,,32.47,12.0,,
Cosaic,https://cosaic.io,9,8,Acquired,2023-01-05,,,24.55,13.0,,
Omnia Fishing,https://omniafishing.com,14,4,Seed VC - II,2022-03-10,,,8.55,4.0,,
Pequity,https://pequity.com,4,2,Series A,2021-06-23,,,22.5,19.0,,
RentoMojo,https://rentomojo.com,22,21,Series D - III,2024-04-19,,2023,86.81,13.0,,0.7307
Zuddl,https://zuddl.com,5,3,Series A,2021-12-03,,,15.48,13.35,,
BeAM,https://beam-machines.fr,7,3,Acquired,2018-06-15,,,4.49,13.0,,
RaySecur,https://raysecur.com,9,6,Series A - II,2024-06-25,,,23.78,6.5,,
Clue,https://helloclue.com,28,12,Angel,2023-04-04,,,81.98,9.3,,
Ocient,https://ocient.com,17,10,Series B - IV,2024-02-13,,,156.7,49.4,,
Haber,https://haberwater.com,8,3,Series C,2024-10-11,,,64.73,37.73,,
Netskope,https://netskope.com,19,11,Convertible Note,2023-01-05,2021-07,,1441.0,401.0,7500.0,
Contingent,https://contingent.ai,9,4,Series A,2022-03-16,,,10.53,8.14,,
Justworks,https://justworks.com,9,7,Unattributed,2023-11-02,2016-03,,159.8,16.8,183.01,
Train Fitness,https://trainfitness.ai,13,4,Seed VC - II,2023-06-21,,,3.49,2.5,,
newcleo,https://newcleo.com,10,3,Series A - II,2024-09-30,,,584.81,150.81,,
Ozlo Sleep,https://ozlosleep.com,3,2,Incubator/Accelerator,2024-05-29,,,10.0,13.0,,
Hemper,https://hemper.es,2,2,Angel,2019-11-12,,,0.31,0.31,,
oVice,https://ovice.com,11,4,Series B,2022-08-31,,,50.71,32.5,,
Simple,https://simple.com,12,7,Dead,2021-01-07,2014-03,,15.35,13.0,117.0,
Cradle,https://cradle.bio,7,2,Series A,2023-11-27,,,29.7,24.0,,
Affinity,https://affinity.co,15,4,Series C,2021-09-09,,,120.0,80.0,,
Vitestro,https://vitestro.com,6,4,Series A - II,2024-04-30,,,34.9,22.0,,
Greywing,https://grey-wing.com,9,5,Seed VC,2021-10-08,,,2.63,2.5,,
Quintessent,https://quintessent.com,7,6,Seed VC - III,2023-10-26,,,18.5,11.6,,
Local Infusion,https://mylocalinfusion.com,4,3,Series A,2023-11-29,,,14.0,10.0,,
mPharma,https://mpharma.com,22,11,Series E,2024-01-30,,,88.54,13.67,,
Kalderos,https://kalderos.com,3,3,Unattributed,2022-09-09,,,49.93,14.93,,
Idoven,https://idoven.ai,25,15,Incubator/Accelerator - V,2023-11-27,,,23.11,13.0,,
Shellworks,https://shellworks.com,10,2,Incubator/Accelerator,2024-03-14,,,6.2,13.0,,
Klearly,https://klearly.nl,2,2,Seed VC - II,2023-05-31,,,2.24,2.24,,
Poolside,https://poolside.ai,23,3,Series B,2024-10-02,,,626.0,500.0,,
nextProtein,https://nextprotein.co,12,3,Series A,2020-05-20,,,12.58,11.2,,
FarmHQ,https://farmhq.com,5,2,Seed VC - II,2024-02-26,,,2.95,0.75,,
Smartrr,https://smartrr.com,6,4,Series A,2023-01-18,2020-11,,17.3,10.0,77.3,
Constrafor,https://constrafor.com,12,6,Convertible Note - II,2023-04-24,,,113.88,7.5,,
NuView,https://nuview.com,1,5,Other Investors,,,,26.0,13.0,,
Duetti,https://duetti.co,8,4,Line of Credit,2024-02-15,,,129.0,75.0,,
Deepwave Digital,https://deepwavedigital.com,6,3,Debt,2024-04-12,,,5.15,2.13,,
Mercaux,https://mercaux.com,7,10,Series B,2022-11-30,,,23.37,14.1,,
Abata Therapeutics,https://abatatx.com,7,4,Corporate Minority,2024-08-15,,,155.33,13.0,,
Virgil,https://wearevirgil.com,13,3,Series A,2022-11-17,,,21.47,15.52,,
Foresight Diagnostics,https://foresight-dx.com,7,3,Series B - II,2024-07-30,,,104.25,33.0,,
LALO,https://lalo.com,9,1,Unattributed,2013-11-12,,,0.71,0.71,,
PlanRadar,https://planradar.com,10,3,Series B,2022-01-20,,,103.4,70.0,,
SuperMeat,https://supermeat.com,9,6,Grant,2022-06-07,,,14.0,13.0,,
Pando,https://,23,4,Acquired,2019-10-23,,,4.2,13.0,,
Mate Fertility,https://matefertility.com,22,3,Incubator/Accelerator,2023-01-18,,,8.0,13.0,,
Back Market,https://backmarket.com,13,7,Series E,2022-01-11,2021-05,,1020.9999999999999,510.0,3200.0,
Revuze,https://revuze.it,9,3,Growth Equity,2022-11-03,,,21.1,12.0,,
Intento,https://inten.to,11,5,Series A,2023-05-15,,,11.52,8.31,,
Altoida,https://altoida.com,15,8,Series A - III,2022-03-30,,,21.53,14.0,,
UserGems,https://usergems.com,11,4,Series A,2021-10-26,,,22.4,20.0,,
WORLDS,https://worlds.org,1,5,Other Investors,,,,26.0,13.0,,
Vectorious Medical Technologies,https://vectoriousmedtech.com,16,5,Incubator/Accelerator,2019-06-17,,,16.7,13.0,,
Faro,https://farohealth.com,5,3,Series A - II,2023-02-08,,,38.3,20.0,,
SkyRyse,https://skyryse.com,25,8,Series B,2021-10-27,,,260.02,205.0,,
Republic,https://republicworld.com,2,2,Unattributed,2017-01-14,,,4.4,4.4,,
Phytolon,https://phytolon.com,16,5,Series A - II,2023-10-05,,,19.06,13.0,,
Fasset,https://fasset.co.uk,1,5,Acquired,2019-05-03,,,26.0,13.0,,
Inspectify,https://getinspectify.com,11,2,Series A,2021-12-01,,,8.13,8.0,,
Hangry,https://gethangry.com,2,5,Acquired,2022-07-13,,,26.0,13.0,,
PadSplit,https://padsplit.com,15,6,Series B,2021-11-01,,,35.9,20.5,,
Magic,https://getmagic.com,2,2,Series A,2015-05-01,,,0.12,13.0,,
AllVoices,https://allvoices.co,7,2,Series A,2021-08-24,,,13.73,9.6,,
NewCampus,https://newcampus.co,7,5,Seed - II,2021-01-11,,,0.5,13.0,,
AgentSync,https://agentsync.io,12,5,Series B - II,2023-10-26,2021-12,2019,161.1,50.0,1200.0,1.9
Aurora Labs,https://auroralabs3d.com,1,5,PIPE,2020-02-13,,,26.0,1.82,,
Elyos Energy,https://elyosenergy.com,3,2,Seed VC,2023-10-13,,,3.54,3.04,,
Bitwave,https://bitwave.io,13,4,Grant,2024-10-01,,,22.4,13.0,,
VendorPM,https://vendorpm.com,10,4,Series A,2022-08-23,,,26.49,20.0,,
Red Points,https://redpoints.com,9,8,Series C - II,2022-11-14,,,102.94,20.0,,
Betterplace,https://betterplaceapp.com,1,1,Seed,2016-09-13,,,0.02,0.02,,
Ganymede,https://ganymede.bio,3,2,Series A,2022-12-20,,,15.65,12.75,,
OrCam Technologies,https://orcam.com,6,5,Incubator/Accelerator,2019-12-15,2018-02,2017,77.4,13.0,1030.4,10.0
InnovaFeed,https://innovafeed.com,19,8,Series D,2022-09-20,,,470.41,250.0,,
Drapr,https://drapr.com,3,3,Acquired,2021-08-26,,,0.63,13.0,,
Algorithmics,https://algorithmics.com,5,4,Acquired - III,2019-12-02,2011-09,,36.64,13.0,387.0,
Recyclops,https://recyclops.com,9,6,Seed VC - II,2024-09-01,,,3.2,0.2,,
Cabify,https://cabify.com,34,19,Series F - II,2024-06-14,,,623.46,21.39,,
