name,website,investor_count,funding_count,funding_total,funding_last_type,funding_last,funding_last_date,valuation,valuation_date,revenue_year,revenue_total
Valera Health,https://valerahealth.com,20,8,76.32M,Series B - II,9.12M,"April 9, 2024",,,,
Bestow,https://bestow.com,8,5,138.1M,Series C,70M,"December 16, 2020",,,,
PlainID,https://plainid.com,10,5,99M,Series C,75M,"December 21, 2021",$48M,December 2020,,
Snapcart,https://snapcart.global,9,4,14.7M,Series A,10M,"October 25, 2017",,,,
Slice,https://sliceit.com,36,21,390.5M,Debt - VIII,7.77M,"July 19, 2024","$1,800M",June 2022,,
Barn2Door,https://barn2door.com,11,7,19.17M,Convertible Note,2M,"April 11, 2023",,,,
Deep Sky,https://deepskyclimate.com,8,3,51.2M,Series A - II,1.84M,"September 12, 2024",,,,
Synapticure,https://synapticure.com,15,3,6M,Series A,,"September 24, 2024",,,,
Ant Group,https://antgroup.com,28,12,25.646B,Loan - II,"6,500M","March 6, 2023",,,2019,17.15B
Dovetail,https://,1,,,Acquired,,"May 21, 2014",,,,
Narvar,https://corp.narvar.com,13,5,64M,Incubator/Accelerator,,"July 1, 2019",,,,
OwnHome,https://ownhome.com,7,3,25.92M,Series A,22.11M,"February 3, 2022",,,,
Decent,https://decent.com,48,4,19M,Series A - II,1M,"December 21, 2021",,,,
Lottie,https://golottie.com,4,2,3.4M,Series A,3.4M,"February 22, 2022",,,,
AI Squared,https://squared.ai,4,2,19.8M,Series A,13.8M,"March 1, 2024",,,,
Grinta,https://grinta.eu,3,1,2.36M,Seed,2.36M,"August 30, 2021",,,,
ReflexAI,https://reflexai.com,8,5,11.84M,Series A,6.53M,"May 6, 2024",,,,
Harmonic Security,https://harmonic.security,10,4,25.96M,Series A,17.5M,"October 2, 2024",,,,
Bitmovin,https://bitmovin.com,15,10,88.79M,Shareholder Liquidity,,"April 20, 2021",,,,
Stader,https://staderlabs.com,31,4,16.5M,Seed VC - II,12.5M,"January 20, 2022",,,,
Upheal,https://upheal.io,12,2,4.29M,Seed VC,3.25M,"December 19, 2023",,,,
Ukio,https://ukio.com,9,5,39.49M,Debt - II,10.3M,"November 23, 2022",,,,
Panorama Education,https://panoramaed.com,33,7,92.04M,Series C - II,60M,"September 2, 2021",,,,
DispatchHealth,https://dispatchhealth.com,15,8,740.96M,Series E,259M,"November 15, 2022","$1,700M",March 2021,,
Amberstone Biosciences,https://amberstonebio.com,6,3,13.22M,Series A,12M,"January 3, 2022",,,,
Astro,https://astro.ai,1,,,Acquired,,"September 24, 2018",,,,
ThayerMahan,https://thayermahan.com,9,6,62.75M,Series C - II,20M,"December 10, 2023",,,,
CREXi,https://crexi.com,12,3,45.3M,Series B,30M,"January 24, 2020",,,,
LivSpace,https://livspace.com,21,11,371.69M,Series F,180M,"February 8, 2022",,,2019,11.29M
Indicina,https://indicina.co,9,4,3.11M,Seed VC - III,3M,"October 6, 2021",,,,
FlexSea,https://flex-sea.com,9,4,3.76M,Seed VC - II,2.4M,"October 3, 2023",,,,
Aisera,https://aisera.com,16,6,180M,Series D,90M,"August 3, 2022",,,,
NymCard,https://nymcard.com,16,9,33.1M,Series B,22.5M,"June 8, 2022",,,,
WEAVR,https://weavr.space,3,,,Acquired,,"June 28, 2018",,,,
ONE,https://groupone-holdings.com,11,5,536M,Series G,50M,"October 15, 2024","$1,000M",December 2021,,
Mosaic Microsystems,https://mosaicmicro.com,10,7,7.27M,Incubator/Accelerator,1M,"December 12, 2023",,,,
Sardine,https://sardine.ai,27,5,75.6M,Series B,51.5M,"September 20, 2022",,,,
Vanta,https://vanta.gg,10,3,3.63M,Seed VC - II,1.1M,"June 27, 2024",,,,
Credo,https://,1,,,Other Investors,,,,,,
ENVIRIA,https://enviria.energy,6,5,42.86M,Secondary Market,217.39M,"March 5, 2024",,,,
Dasera,https://dasera.com,13,3,18M,Series A,12M,"April 19, 2023",,,,
Tava Health,https://tavahealth.com,6,4,33M,Series B,20M,"December 29, 2023",,,,
Deako,https://deako.com,8,14,41.86M,Convertible Note - III,3.41M,"July 3, 2024",,,,
Switch Bioworks,https://switchbioworks.com,8,2,21.3M,Seed VC,17M,"September 5, 2024",,,,
Commonplace,https://commonplace.is,9,3,6.95M,Unattributed VC - II,2.66M,"June 14, 2023",,,,
Botify,https://botify.com,7,5,97.2M,Growth Equity,15M,"October 1, 2023",,,,
FlexxPay,https://flexxpay.com,10,5,4.5M,Seed - IV,3M,"February 15, 2021",,,,
Survios,https://survios.com,14,5,70.95M,Series D,16.7M,"October 2, 2020",$30M,October 2015,,
Ironclad,https://ironcladapp.com,16,9,331.12M,Series E,150M,"January 18, 2022",$950M,October 2020,2019,10M
iSono Health,https://isonohealth.com,12,7,1.13M,Biz Plan Competition,0.01M,"February 6, 2023",,,,
EyeControl,https://eyecontrol.co.il,16,6,11.35M,Series A,7.5M,"August 12, 2020",,,,
Credenc,https://credenc.com,7,5,27.5M,Acquired,,"August 20, 2021",,,,
BriteCo,https://brite.co,5,3,12.8M,Series A,9M,"March 11, 2022",,,,
Cometeer,https://cometeer.com,7,2,85M,Series B,35M,"October 19, 2021",,,,
Sharebite,https://sharebite.com,16,7,72.17M,Series B - II,13.55M,"February 21, 2024",,,,
Curacel,https://curacel.co,25,16,5.01M,Incubator/Accelerator - VI,,"May 18, 2024",,,,
AMSL Aero,https://vertiia.com,6,4,19.05M,Grant,3.49M,"November 7, 2023",,,,
Anomalo,https://anomalo.com,7,4,71.95M,Series B,33M,"January 24, 2024",,,,
Ion Mobility,https://ionmobility.com,17,8,28.8M,Incubator/Accelerator - III,,"June 29, 2023",,,,
Recurrent,https://recurrentauto.com,18,5,24.3M,Series A,16M,"January 8, 2024",,,,
Sitemate,https://sitemate.com,7,3,9.44M,Seed VC - II,4.85M,"November 16, 2023",,,,
Entitle,https://entitle.io,4,5,15M,Acquired,,"April 16, 2024",,,,
Visional,https://visional.inc,16,4,45.53M,IPO,632M,"April 21, 2021",,,,
Bankingly,https://bankingly.com,12,4,21.25M,Series A - III,11M,"May 6, 2022",,,,
PocketHealth,https://pockethealth.com,5,3,55.59M,Series B,33.09M,"March 20, 2024",,,,
Sunhero,https://sunhero.com,6,3,17.89M,Debt,3.16M,"October 13, 2023",,,,
Menlo Security,https://menlosecurity.com,11,5,250.5M,Series E,100M,"November 12, 2020",,,,
Kalshi,https://kalshi.com,9,5,38.74M,Series A - II,2.5M,"January 14, 2022",$120M,February 2021,,
KikOff,https://kikoff.com,10,3,42.5M,Series B,30M,"June 10, 2021",,,,
AI21 Labs,https://ai21.com,15,6,317M,Series C - II,53M,"November 21, 2023","$1,400M",August 2023,2022,22M
Kewazo,https://kewazo.com,8,5,17.75M,Series A - II,10M,"January 24, 2023",,,,
Relish,https://relishcareers.com,2,3,660K,Unattributed,0.66M,"October 31, 2016",,,,
Penn Connected,https://pennconnected.com,3,1,1.9M,Seed VC,1.9M,"April 4, 2016",,,,
Mangata Networks,https://mangatanetworks.com,7,4,61.03M,Convertible Note,28.03M,"December 19, 2022",,,,
SourceDay,https://sourceday.com,7,6,54.75M,Series C,31.5M,"February 15, 2022",,,,
Moneytree,https://getmoneytree.com,20,7,34.8M,Incubator/Accelerator - II,,"April 29, 2022",,,,
Luminopia,https://luminopia.com,10,11,38.72M,Series A,16M,"June 27, 2023",,,,
Addionics,https://addionics.com,26,10,72M,Series B,39M,"July 25, 2024",$82M,January 2022,,
Ambient Photonics,https://ambientphotonics.com,13,6,240.5M,Series A - II,30M,"September 5, 2023",,,,
BuildOps,https://buildops.com,23,8,98.8M,Series B,50M,"May 18, 2023",,,,
GigFinesse,https://gigfinesse.com,5,2,9.39M,Series A,5.79M,"June 3, 2024",,,,
Kard,https://getkard.com,10,4,23.87M,Series A,23M,"April 12, 2022",,,,
Cornelis Networks,https://cornelisnetworks.com,8,7,111.35M,Series C,25M,"March 12, 2024",,,,
Tarana Wireless,https://taranawireless.com,13,10,429.64M,Unattributed,50M,"September 13, 2023","$1,000M",March 2022,,
Celmatix,https://celmatix.com,4,11,39.63M,Grant - II,,"December 19, 2018",,,,
Hone,https://honehq.com,17,4,51.64M,Series B,29.29M,"August 22, 2022",,,,
