name,website,cb_description,year_founded,mosaic_change,city,region,country,postal
Valera Health,https://valerahealth.com,"Valera Health operates as a tele-mental health service provider in the healthcare sector. The company offers therapy and psychiatry services, including individual and group therapy, medication management, and mental healthcare through an online platform. Valera Health primarily serves individuals seeking mental health services remotely. Valera Health was formerly known as Ethosmart Health. It was founded in 2015 and is based in Brooklyn, New York.",2015,-117,Brooklyn,New York,United States,11249
Bestow,https://bestow.com,"Bestow operates as an insurance technology company and develops products and software for insurance companies. It provides an application programming interface (API) enabling partners to offer life insurance coverage to customers. The company was formerly known as Coverlife. It was founded in 2017 and is based in Dallas, Texas.",2017,-119,Dallas,Texas,United States,75226
Caura,https://caura.ru,Our main product is a credit scoring solution based on data from social networks and loan applications. We provide Scoring-as-a-Service through our brokerage platform to Microfinance organizations. Our business model is to be the outsource destination for IT and Risk services in the Russian microfinance market.,,,,,,
PlainID,https://plainid.com,"PlainID is an Identity Security Posture Management company that operates in the cybersecurity industry. The company offers a platform that provides insights into identity risks, standardizes authorization for SaaS applications, and extends identity security across the enterprise. Its solutions cater to various sectors including workforce, customer, and B2B access control, as well as data privacy and compliance. It was founded in 2014 and is based in Tel Aviv, Israel.",2014,-120,Tel Aviv,,Israel,6789139
Snapcart,https://snapcart.global,"Snapcart specializes in real-time offline shopper engagement and data services within the marketing and data analytics sectors. The company offers solutions for brands to connect with customers by utilizing AI-powered receipt processing and crowdsourced data to enhance marketing strategies and optimize return on investment. Snapcart primarily serves sectors such as consumer goods, electronics, and food & beverage industries. It was founded in 2015 and is based in Jakarta, Indonesia.",2015,+124,Jakarta,,Indonesia,12940
Slice,https://sliceit.com,"Slice operates as a financial technology company focusing on providing consumer payment solutions. The company offers a digital prepaid account for everyday payments, a fast and simple way to make payments via credit or UPI. The company primarily serves the financial services industry. Slice was formerly known as Slice Pay. It was founded in 2016 and is based in Bengaluru, India.",2016,-76,,Assam,India,781028
Barn2Door,https://barn2door.com,"Barn2Door focuses on facilitating direct sales for farmers. The company offers a suite of services including website design, email marketing, eCommerce solutions, and point-of-sale systems to streamline farm operations. It primarily serves the agriculture sector by helping farmers with sales, managing orders, and connecting with customers. It was founded in 2015 and is based in Nashville, Tennessee.",2015,+28,Nashville,Tennessee,United States,98103
Deep Sky,https://deepskyclimate.com,"Deep Sky builds infrastructure for carbon dioxide removal systems within the environmental services industry. The company offers direct-air and ocean carbon capture technologies that absorb CO2 from the atmosphere and water and then permanently store it underground. Deep Sky was founded in 2022 and is based in Outremont, Canada.",2022,+198,Outremont,Quebec,Canada,H2V 1S2
Synapticure,https://synapticure.com,"Synapticure specializes in providing virtual care for individuals with neurodegenerative diseases within the healthcare sector. The company offers services such as consultations with neurologists, mental health support, care coordination, and assistance with insurance and clinical trials. Synapticure primarily serves patients and caregivers dealing with conditions like Alzheimer's, Parkinson's, ALS, and other related disorders. It was founded in 2019 and is based in Chicago, Illinois.",2019,+28,Chicago,Illinois,United States,60612
Ant Group,https://antgroup.com,"Ant Group focuses on the digital transformation of the service industry, particularly in the financial sector. The company provides a platform that facilitates access to financial services for consumers and small businesses, emphasizing inclusivity, environmental consciousness, and sustainability.  Ant Group was formerly known as Zhejiang Ant Small and Micro Financial Services. It was founded in 2004 and is based in Hangzhou, China.",2004,-58,Hangzhou,Zhejiang,China,
Dovetail,https://,"Dovetail offers a flexible customer insights platform for teams to get data-driven insights. The company's platform stores user research notes, transcripts, images, videos, and audio recordings and discovers patterns across research data collected from interviews, usability testing, and customer interviews, enabling organizations and users to work together in real-time and share projects and notes with internal and external stakeholders. It was founded in 2017 and is based in Sydney, Australia.",2017,,Sydney,New South Wales,Australia,
Narvar,https://corp.narvar.com,"Narvar is a company specializing in post-purchase customer engagement within the retail industry. Its main offerings include solutions for order tracking, delivery notifications, and management of returns and exchanges, designed to enhance customer loyalty and increase lifetime value. Narvar's platform serves a broad range of sectors within the retail industry, providing tools to streamline the post-purchase experience for both businesses and consumers. It was founded in 2012 and is based in San Mateo, California.",2012,-43,San Mateo,California,United States,94401
OwnHome,https://ownhome.com,"OwnHome focuses on providing solutions in the real estate industry. It offers a service that helps individuals overcome the deposit hurdle when buying a home, by providing a deposit boost Loan that allows customers to secure a home loan with any bank or lender they qualify with. The company primarily serves individuals in the real estate market who are looking to buy a home. It was founded in 2021 and is based in Potts Point, Australia.",2021,-36,Potts Point,New South Wales,Australia,
Decent,https://decent.com,"Decent is a company focused on providing health insurance solutions. The company offers health insurance for self-employed people, managing employee benefits and paperwork. Its services primarily cater to the small business sector. The company was founded in 2018 and is based in Austin, Texas.",2018,+141,Austin,Texas,United States,78701
Lottie,https://golottie.com,"Lottie is a company that focuses on the development of child-friendly technology in the digital entertainment industry. The company offers an application designed for children aged 2-5, providing curated content that encourages self-exploration and interest development, while also supporting parents in setting healthy screen time limits. Lottie primarily serves the digital entertainment sector for children. It was founded in 2021 and is based in Germany.",2021,-50,,,Germany,10178
AI Squared,https://squared.ai,"AI Squared specializes in integrating artificial intelligence into business applications across various sectors. The company offers technologies that enable the embedding of AI insights into front-end applications, facilitating a collaborative environment for AI consumers and developers. AI Squared primarily serves sectors that are looking for decision-making and workflow optimization through AI adoption. It was founded in 2021 and is based in San Francisco, California.",2021,+286,San Francisco,California,United States,94105
Grinta,https://grinta.eu,"Grinta is a technology company operating in the sports industry. The company provides an e-commerce solution for sports clubs, enabling them to create online stores for their members. These stores offer a range of sports equipment and merchandise, with purchases contributing to the club's funding. Grinta primarily serves the sports industry. It was founded in 2020 and is based in Saint-Etienne, France.",2020,-84,Saint-Etienne,,France,
